nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;;Pixel Certo;Tempo
;;;;;;;;;1375;;;346,57
;;;;;;;;;9;;;64,77
0;166500;87000;7800;850352;3809;80565;1310;5166;1386;0,86%;159948;321,730046034
1;166500;87000;7800;850352;3809;80564;1311;5166;1387;0,86%;159947;266,200942039
2;166500;87000;7800;850352;3809;80582;1293;5166;1369;0,85%;159965;262,983757973
3;166500;87000;7800;850352;3809;80587;1288;5166;1364;0,85%;159970;264,102828979
4;166500;87000;7800;850352;3809;80573;1302;5166;1378;0,85%;159956;346,461755037
5;166500;87000;7800;850352;3809;80577;1298;5166;1374;0,85%;159960;388,184339046
6;166500;87000;7800;850352;3809;80585;1290;5166;1366;0,85%;159968;261,3654809
7;166500;87000;7800;850352;3809;80591;1284;5166;1360;0,84%;159974;262,153052092
8;166500;87000;7800;850352;3809;80563;1312;5166;1388;0,86%;159946;345,021620989
9;166500;87000;7800;850352;3809;80570;1305;5166;1381;0,86%;159953;262,390206099
10;166500;87000;7800;850352;3809;80576;1299;5166;1375;0,85%;159959;371,437958956
11;166500;87000;7800;850352;3809;80582;1293;5166;1369;0,85%;159965;297,985198021
12;166500;87000;7800;850352;3809;80580;1295;5166;1371;0,85%;159963;434,095145941
13;166500;87000;7800;850352;3809;80565;1310;5166;1386;0,86%;159948;388,300026178
14;166500;87000;7800;850352;3809;80575;1300;5166;1376;0,85%;159958;294,902133226
15;166500;87000;7800;850352;3809;80577;1298;5166;1374;0,85%;159960;332,124914885
16;166500;87000;7800;850352;3809;80581;1294;5166;1370;0,85%;159964;378,754914999
17;166500;87000;7800;850352;3809;80581;1294;5166;1370;0,85%;159964;389,512031794
18;166500;87000;7800;850352;3809;80584;1291;5166;1367;0,85%;159967;307,654710054
19;166500;87000;7800;850352;3809;80579;1296;5166;1372;0,85%;159962;397,62389493
20;166500;87000;7800;850352;3809;80552;1323;5166;1399;0,87%;159935;323,662642002
21;166500;87000;7800;850352;3809;80586;1289;5166;1365;0,85%;159969;305,379904032
22;166500;87000;7800;850352;3809;80583;1292;5166;1368;0,85%;159966;316,445389986
23;166500;87000;7800;850352;3809;80573;1302;5166;1378;0,85%;159956;495,731114864
24;166500;87000;7800;850352;3809;80570;1305;5166;1381;0,86%;159953;383,353403807
25;166500;87000;7800;850352;3809;80567;1308;5166;1384;0,86%;159950;312,38559413
26;166500;87000;7800;850352;3809;80570;1305;5166;1381;0,86%;159953;473,236814022
27;166500;87000;7800;850352;3809;80564;1311;5166;1387;0,86%;159947;433,179084063
28;166500;87000;7800;850352;3809;80591;1284;5166;1360;0,84%;159974;385,828314066
29;166500;87000;7800;850352;3809;80575;1300;5166;1376;0,85%;159958;394,890938997
;;;;;;;;;;0,85%;;
;;;;;;;;;;0,01%;;
